activity_index,br,hr,infrared_perf,sleep_classes,temp,time
26,14.4181687175132,54.2007241981958,604,4,3297,1485382241
9,14.4170687592312,52.8867339624351,693,4,3301,1485382251
9,14.4170687592312,52.6181817312414,760,4,3304,1485382261
10,14.4172387437036,52.8262806295851,773,1,3305,1485382271
9,14.4189773414075,53.1061611817971,793,1,3306,1485382281
11,14.4211654903423,53.0311562802797,818,1,3306,1485382291
10,14.4245949995771,52.6933983992751,848,1,3306,1485382302
11,14.4277420189901,52.5414317051506,886,1,3306,1485382312
11,14.4304857383626,52.4922198914069,916,1,3306,1485382322
10,14.4326733994948,52.4953908961616,937,1,3306,1485382332
9,14.4340947310894,52.3629684111985,962,1,3312,1485382342
11,14.4340947310894,52.7227470820943,993,1,3322,1485382352
11,14.4337323938804,53.0730379406773,1026,1,3326,1485382362
10,14.4314808835016,52.704304366548,1060,1,3328,1485382372
9,14.427470075788,52.3853661714624,1089,1,3329,1485382382
10,14.4228590521773,52.3135752840352,1105,1,3329,1485382392
11,14.4157730761762,52.7369828730589,1121,1,3329,1485382402
11,14.4082835351409,53.3434962560434,1143,1,3329,1485382412
10,14.4001975563409,53.4864534335451,1155,1,3329,1485382422
10,14.3914411836695,53.4720009532414,1172,1,3329,1485382432
11,14.3828118022761,53.0965382005397,1187,1,3330,1485382442
11,14.3747060613312,52.5442673198974,1209,1,3332,1485382452
11,14.3668098276378,52.3429558749332,1217,1,3338,1485382462
10,14.3597303151609,52.2912724699492,1223,1,3347,1485382472
11,14.3535687930287,52.5307692028185,1231,1,3348,1485382482
11,14.3473534946262,52.9742760328509,1243,1,3351,1485382493
10,14.3431359762484,53.0712952460689,1257,1,3353,1485382503
9,14.3392343890355,52.9122500625601,1272,1,3353,1485382513
12,14.3359327130396,52.7601602763223,1284,1,3353,1485382523
11,14.3331926167423,52.692515932887,1300,1,3353,1485382533
9,14.3305736569036,52.7796387138745,1306,1,3353,1485382543
12,14.3282523012945,52.7213464851254,1311,1,3353,1485382553
10,14.3259417416974,52.3514928225181,1306,1,3353,1485382563
11,14.3235373007976,52.1092878547846,1306,1,3353,1485382573
11,14.3210449772764,52.5304458098681,1308,1,3354,1485382583
11,14.3185240075256,53.3086953627106,1314,1,3358,1485382593
10,14.315932660639,53.5082687030773,1325,1,3365,1485382603
